Date Start: 2026-04-30 - Date End: 2026-05-31,,,,
,,,,
Product info,Product info,Gross revenue,Commission,Unit sales
1734960702840211146,Chaqueta Gamuza Hombre Mayoreo 20 Pzs Forro Peluche Estilo Casual Elegante,$0.00,$0.00,0
1734967370483074762,Rompevientos Hombre Mayoreo 24 Pzs Chamarra Ligera Deportiva con Gorro Ajustable,$0.00,$0.00,0
1734967739723450058,Rompevientos Mujer 30Pzs,$0.00,$0.00,0
1734968059518224074,Chaleco Puff Mujer Corto Mayoreo 16 Pzs Casual con Gorro Estilo Trendy,$0.00,$0.00,0
1734968380044117706,Chamarra Mujer Mayoreo 30 Pzs Entallada con Peluche y Bolsillos con Cierre,$0.00,$0.00,0
1734968521563932362,Conjunto Pants Niña Mayoreo 36 Pzs Outfit 2 Piezas Casual con Gorro,$0.00,$0.00,0
1734968544421250762,Conjunto Pants Mujer Mayoreo 36 Pzs Outfit 2 Piezas Casual con Gorro,$0.00,$0.00,0
1734968579420423882,Chaleco Reversible Mujer Mayoreo 60 Pzs 2 en 1 Casual con Gorro y Bolsillos,$0.00,$0.00,0
1734968662395619018,Chaleco Vinipiel Mujer Mayoreo 16 Pzs Casual Elegante con Cinturón y Peluche,$0.00,$0.00,0
1734968901269882570,Chaleco Reversible Caballero Mayoreo 36 Pzs Doble Vista Casual con Gorro y Bolsas,$0.00,$0.00,0
1734968947177260746,Chaleco Largo Mujer Mayoreo 30 Pzs Acolchado 3/4 con Gorro Desmontable,$0.00,$0.00,0
1734969057038796490,Gabardina Mujer Mayoreo 36 Pzs 3/4 con Cinturón y Gorro Desmontable,$0.00,$0.00,0
1735443868584347338,Chaleco Largo Mujer 3/4 Mayoreo “Pola” con Peluche y Gorro Desmontable,$0.00,$0.00,0
1735508935294617290,Chaleco Maxi Largo Mujer Mayoreo Acolchado con Gorro Desmontable Invierno,$0.00,$0.00,0
1735509115224753866,Chamarra Rompevientos Mujer Mayoreo Ultra Ligera con Gorro y Bolsillos con Cierre,$0.00,$0.00,0
1735509189832574666,Chaleco Reversible Mujer Mayoreo Doble Vista Nylon con Bolsillos y Cierres,$0.00,$0.00,0
1735509236324992714,Chaleco Reversible Hombre Mayoreo Doble Vista Nylon con Cierres Cromados,$0.00,$0.00,0
1735509287829604042,Camisola Hombre Mayoreo Tipo Sobrecamisa de Algodón con Bolsas y Botones,$0.00,$0.00,0
1735522423721985738,Camisola Hombre Mayoreo Franela Gruesa a Cuadros con Forro Peluche,$0.00,$0.00,0
1735522944924485322,Chamarra Mujer Vinipiel Mayoreo Tipo Piel Sintética Casual Modelos Variados,$0.00,$0.00,0
1735522993341433546,Chaleco Acolchado Hombre Mayoreo 25 piezas Sport con Gorro Desmontable y Bolsillos,$0.00,$0.00,0
1735523049799517898,Chamarra Hombre de Paño Mayoreo con Forro Peluche Casual Elegante,$0.00,$0.00,0
1735523101213165258,MAYOREO POR PAQUETE DE  12 PIEZAS Playera Oversize  para Hombre Street wear con Estampados Moda Urbana Casual,$0.00,$0.00,0
1735550150763054794,Conjunto Velur Mujer Mayoreo 24 Pzs 2 Piezas Pants y Chamarra con Gorro “Violeta”,$0.00,$0.00,0
