Fecha del análisis: 01/05/2026-30/05/2026,Fecha de comparación: 01/04/2026-30/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Resumen de los datos,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMV,Pedidos,Clientes,Artículos vendidos,Artículos reembolsados,Pedidos con SKU,Ingresos brutos,Vistas de página,Visitantes,Tasa de conversión,Impresiones del producto,Impresiones únicas de productos,Clics en el producto,Clics únicos,AOV,GMV atribuido al LIVE del creador,GMV de LIVE del creador,GMV indirecto de LIVE del creador,GMV atribuido a LIVE de cuentas vinculadas,GMV de LIVE del vendedor,GMV indirecto de LIVE de vendedor,GMV atribuido a videos de afiliados,GMV de videos del creador,GMV indirecto de video del creador,GMV atribuido a videos de cuentas vinculadas,GMV de videos de vendedor,GMV indirecto de video de vendedor
Valor total,0,0,0,0,-,0,-,1216,880,0,68403,45891,1327,903,-,0,0,0,0,0,0,0,0,0,0,0,0
Cambio porcentual,-,-,-,-,,-,,135.20%,128.57%,-,31.53%,12.18%,151.33%,135.77%,,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datos diarios,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,GMV,Pedidos,Clientes,Artículos vendidos,Artículos reembolsados,Pedidos con SKU,Ingresos brutos,Vistas de página,Visitantes,Tasa de conversión,Impresiones del producto,Impresiones únicas de productos,Clics en el producto,Clics únicos,AOV,GMV atribuido al LIVE del creador,GMV de LIVE del creador,GMV indirecto de LIVE del creador,GMV atribuido a LIVE de cuentas vinculadas,GMV de LIVE del vendedor,GMV indirecto de LIVE de vendedor,GMV atribuido a videos de afiliados,GMV de videos del creador,GMV indirecto de video del creador,GMV atribuido a videos de cuentas vinculadas,GMV de videos de vendedor,GMV indirecto de video de vendedor
01/05/2026,0,0,0,0,-,0,-,17,12,0,1463,1001,17,12,-,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2026,0,0,0,0,-,0,-,45,41,0,3586,2903,48,42,-,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2026,0,0,0,0,-,0,-,21,19,0,1997,1589,21,19,-,0,0,0,0,0,0,0,0,0,0,0,0
04/05/2026,0,0,0,0,-,0,-,85,40,0,2203,993,88,40,-,0,0,0,0,0,0,0,0,0,0,0,0
