"[Rango de fechas]: May 2, 2026 ~ May 29, 2026",,,,,,,,,,,
,,,,,,,,,,,
Resumen de los datos,GMV,Artículos vendidos,Compradores,GMV promedio,Visitantes,Vistas de página,Tasa de vistas a clics,Tasa de clics a pagos,Clics promedio en productos,PV o UV,Duración Tiempo de visita
,0,0,0,0,160,377,39.38%,0.00%,3.49,2.36,9sec
,,,,,,,,,,,
Datos diarios,,,,,,,,,,,
Fecha,GMV,Artículos vendidos,Compradores,GMV promedio,Visitantes,Vistas de página,Tasa de vistas a clics,Tasa de clics a pagos,Clics promedio en productos,PV o UV,Duración Tiempo de visita
"May 2, 2026",0,0,0,0,4,13,25.00%,0.00%,2.00,3.25,8sec
"May 3, 2026",0,0,0,0,2,2,0.00%,0.00%,0.00,1.00,3sec
"May 4, 2026",0,0,0,0,58,85,53.45%,0.00%,2.39,1.47,2sec
"May 5, 2026",0,0,0,0,14,37,50.00%,0.00%,3.57,2.64,11sec
"May 6, 2026",0,0,0,0,10,13,20.00%,0.00%,1.00,1.30,1sec
"May 7, 2026",0,0,0,0,4,9,50.00%,0.00%,1.50,2.25,8sec
"May 8, 2026",0,0,0,0,1,5,0.00%,0.00%,0.00,5.00,22sec
"May 9, 2026",0,0,0,0,7,14,71.43%,0.00%,1.60,2.00,34sec
"May 10, 2026",0,0,0,0,4,6,25.00%,0.00%,1.00,1.50,3sec
"May 11, 2026",0,0,0,0,5,12,60.00%,0.00%,2.33,2.40,24sec
"May 12, 2026",0,0,0,0,5,6,0.00%,0.00%,0.00,1.20,3sec
"May 13, 2026",0,0,0,0,4,6,25.00%,0.00%,5.00,1.50,2sec
"May 14, 2026",0,0,0,0,6,6,16.67%,0.00%,1.00,1.00,1sec
"May 15, 2026",0,0,0,0,11,11,0.00%,0.00%,0.00,1.00,0sec
"May 16, 2026",0,0,0,0,7,11,0.00%,0.00%,0.00,1.57,2sec
"May 17, 2026",0,0,0,0,2,2,0.00%,0.00%,0.00,1.00,1sec
"May 18, 2026",0,0,0,0,8,13,0.00%,0.00%,0.00,1.63,4sec
"May 19, 2026",0,0,0,0,7,7,14.29%,0.00%,3.00,1.00,1sec
"May 20, 2026",0,0,0,0,1,1,0.00%,0.00%,0.00,1.00,0sec
"May 21, 2026",0,0,0,0,5,8,40.00%,0.00%,1.00,1.60,1sec
"May 22, 2026",0,0,0,0,12,36,50.00%,0.00%,3.17,3.00,4sec
"May 23, 2026",0,0,0,0,7,13,14.29%,0.00%,3.00,1.86,9sec
"May 24, 2026",0,0,0,0,4,4,50.00%,0.00%,9.00,1.00,0sec
"May 25, 2026",0,0,0,0,11,22,27.27%,0.00%,9.67,2.00,31sec
"May 26, 2026",0,0,0,0,6,9,16.67%,0.00%,1.00,1.50,0sec
"May 27, 2026",0,0,0,0,9,12,33.33%,0.00%,2.00,1.33,6sec
"May 28, 2026",0,0,0,0,4,10,50.00%,0.00%,3.00,2.50,10sec
"May 29, 2026",0,0,0,0,4,4,75.00%,0.00%,1.67,1.00,0sec
