2026-05-01 ~ 2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Producto,Estado,GMV,Artículos vendidos,Pedidos,GMV de la pestaña Tienda,Artículos vendidos en la pestaña Tienda,Impresiones de listado de la pestaña Tienda,Vistas de página de la pestaña Tienda,Vistas de página únicas de la pestaña Tienda,Clientes de productos únicos de la pestaña Tienda,Tasa de clics de la pestaña Tienda,Tasa de conversión de la pestaña Tienda,GMV atribuido a LIVE,Ventas de artículos atribuidas a LIVE,Impresiones en el LIVE,Vistas de la página desde el LIVE,Vistas únicas de la página desde el LIVE,Clientes de productos únicos por el LIVE,Tasa de clics por el LIVE,Tasa de conversión por el LIVE,GMV atribuido al video,Ventas de artículos atribuidas a videos,Impresiones de videos,Vistas de páginas desde video,Vistas únicas de páginas desde video,Clientes de productos únicos por el video,Tasa de clics de videos,Tasa de conversión de videos,GMV atribuido a tarjetas de productos,Artículos vendidos atribuidos a tarjetas de producto,Impresiones de tarjetas de productos,Vistas de página desde tarjetas de productos,Vistas únicas de la página desde la tarjeta de producto,Clientes únicos con tarjetas de productos,Tasa de clics de tarjetas de producto,Tasa de conversión de tarjetas de productos
1735550150763054794,Conjunto Velur Mujer Mayoreo 24 Pzs 2 Piezas Pants y Chamarra con Gorro “Violeta”,Active,MX$0.00,0,0,MX$0.00,0,92,2,2,0,2.17%,0.00%,MX$0.00,0,20,1,1,0,5.00%,0.00%,MX$0.00,0,5234,40,36,0,0.76%,0.00%,MX$0.00,0,180,4,4,0,2.22%,0.00%
1735523101213165258,MAYOREO POR PAQUETE DE  12 PIEZAS Playera Oversize  para Hombre Street wear con Estampados Moda Urbana Casual,Active,MX$0.00,0,0,MX$0.00,0,308,13,9,0,4.22%,0.00%,MX$0.00,0,0,0,0,0,-,0.00%,MX$0.00,0,5,1,1,0,20.00%,0.00%,MX$0.00,0,1923,22,17,0,1.14%,0.00%
1735523049799517898,Chamarra Hombre de Paño Mayoreo con Forro Peluche Casual Elegante,Active,MX$0.00,0,0,MX$0.00,0,108,1,1,0,0.93%,0.00%,MX$0.00,0,22,2,2,0,9.09%,0.00%,MX$0.00,0,1464,22,20,0,1.50%,0.00%,MX$0.00,0,294,11,10,0,3.74%,0.00%
1735522993341433546,Chaleco Acolchado Hombre Mayoreo 25 piezas Sport con Gorro Desmontable y Bolsillos,Active,MX$0.00,0,0,MX$0.00,0,46,1,1,0,2.17%,0.00%,MX$0.00,0,19,1,1,0,5.26%,0.00%,MX$0.00,0,12,0,0,0,0.00%,0.00%,MX$0.00,0,151,7,5,0,4.64%,0.00%
1735522944924485322,Chamarra Mujer Vinipiel Mayoreo Tipo Piel Sintética Casual Modelos Variados,Active,MX$0.00,0,0,MX$0.00,0,186,1,1,0,0.54%,0.00%,MX$0.00,0,19,0,0,0,0.00%,0.00%,MX$0.00,0,5,0,0,0,0.00%,0.00%,MX$0.00,0,303,4,4,0,1.32%,0.00%
1735522423721985738,Camisola Hombre Mayoreo Franela Gruesa a Cuadros con Forro Peluche,Active,MX$0.00,0,0,MX$0.00,0,44,1,1,0,2.27%,0.00%,MX$0.00,0,18,0,0,0,0.00%,0.00%,MX$0.00,0,995,31,27,0,3.12%,0.00%,MX$0.00,0,214,12,7,0,5.61%,0.00%
1735509287829604042,Camisola Hombre Mayoreo Tipo Sobrecamisa de Algodón con Bolsas y Botones,Active,MX$0.00,0,0,MX$0.00,0,251,12,12,0,4.78%,0.00%,MX$0.00,0,23,1,1,0,4.35%,0.00%,MX$0.00,0,2705,128,102,0,4.73%,0.00%,MX$0.00,0,479,20,19,0,4.18%,0.00%
1735509236324992714,Chaleco Reversible Hombre Mayoreo Doble Vista Nylon con Cierres Cromados,Active,MX$0.00,0,0,MX$0.00,0,34,0,0,0,0.00%,0.00%,MX$0.00,0,22,0,0,0,0.00%,0.00%,MX$0.00,0,4782,112,95,0,2.34%,0.00%,MX$0.00,0,148,5,3,0,3.38%,0.00%
1735509189832574666,Chaleco Reversible Mujer Mayoreo Doble Vista Nylon con Bolsillos y Cierres,Active,MX$0.00,0,0,MX$0.00,0,136,7,5,0,5.15%,0.00%,MX$0.00,0,22,0,0,0,0.00%,0.00%,MX$0.00,0,2393,51,44,0,2.13%,0.00%,MX$0.00,0,251,11,7,0,4.38%,0.00%
1735509115224753866,Chamarra Rompevientos Mujer Mayoreo Ultra Ligera con Gorro y Bolsillos con Cierre,Active,MX$0.00,0,0,MX$0.00,0,442,7,6,0,1.58%,0.00%,MX$0.00,0,124,3,3,0,2.42%,0.00%,MX$0.00,0,3259,100,86,0,3.07%,0.00%,MX$0.00,0,517,15,11,0,2.90%,0.00%
