Fecha del análisis: 29/05/2026~04/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores
Nombre del producto,ID del producto,Rango de GMV,Estado del listado,GMV,GMV atribuido al LIVE del vendedor,GMV de LIVE del vendedor,GMV indirecto de LIVE de vendedor,GMV atribuido al video de un vendedor,GMV de videos de vendedor,GMV indirecto de video de vendedor,GMV atribuido a creadores,GMV atribuido al LIVE del creador,GMV de LIVE de creadores,GMV indirecto de LIVE del creador,GMV atribuido a videos de afiliados,GMV de videos de creadores,GMV indirecto de video del creador,GMV de tarjeta de producto de vendedor,Pedidos,Pedidos con SKU,Artículos vendidos,Clientes estimados,AOV (pedidos con SKU),Impresiones del producto,Clics en el producto,CTR,Cantidad de adiciones al carrito,Tasa de adición al carrito,CTOR (pedido con SKU),Impresiones únicas de productos,Clics únicos,CTR única,Usuarios de Agregar al carrito,Tasa de ATC única,CTOR (pedido con SKU) única,GMV con impuestos,Impuesto,GMV (con cofinanciación de TikTok),Tarifas de envío,Reembolsos,Artículos reembolsados,Clientes reembolsados,Impresiones del producto en la pestaña Tienda,Clics en el producto en la pestaña Tienda,Clics en el producto únicos en la pestaña Tienda,Clientes est. de la pestaña Tienda,CTR de la pestaña Tienda,CTOR de la pestaña Tienda (SKU),GMV de la pestaña Tienda,Artículos vendidos en la pestaña Tienda,GMV atribuido,GMV,GMV indirecto,Pedidos atribuidos,Pedidos con SKU atribuidos,Pedidos con SKU,Pedidos con SKU indirectos,Ventas de artículos atribuidas,Artículos vendidos,Artículos vendidos indirectamente,Clientes estimados,AOV (pedidos con SKU atribuidos),Recuento de nuevos LIVE,Impresiones del producto,Clics en el producto,CTR,Cantidad de adiciones al carrito,Tasa de adición al carrito,CTOR (pedido con SKU),Impresiones únicas de productos,Clics únicos,CTR única,Usuarios de Agregar al carrito,Tasa de ATC única,CTOR (pedido con SKU) única,GMV atribuido,GMV,GMV indirecto,Pedidos atribuidos,Pedidos con SKU atribuidos,Pedidos con SKU,Pedidos con SKU indirectos,Ventas de artículos atribuidas,Artículos vendidos,Artículos vendidos indirectamente,Clientes estimados,AOV (pedidos con SKU atribuidos),Recuento de videos nuevos,Impresiones del producto,Clics en el producto,CTR,Cantidad de adiciones al carrito,Tasa de adición al carrito,CTOR (pedido con SKU),Impresiones únicas de productos,Clics únicos,CTR única,Usuarios de Agregar al carrito,Tasa de ATC única,CTOR (pedido con SKU) única,GMV atribuido,GMV atribuido a LIVE,GMV de LIVE de creadores,GMV indirecto de LIVE del creador,GMV atribuido al video,GMV de videos de creadores,GMV indirecto de video del creador,Pedidos atribuidos,Pedidos con SKU atribuidos,Ventas de artículos atribuidas,Clientes estimados,AOV (pedidos con SKU atribuidos),promoting_creators_metric_name_short_ui,Recuento de nuevos LIVE,Recuento de videos nuevos,Impresiones del producto,Clics en el producto,CTR,Cantidad de adiciones al carrito,Tasa de adición al carrito,CTOR (pedido con SKU),Impresiones únicas de productos,Clics únicos,CTR única,Usuarios de Agregar al carrito,Tasa de ATC única,CTOR (pedido con SKU) única,Impresiones de los productos (LIVE),Clics en el producto (LIVE),CTR (LIVE),Cantidad de adiciones al carrito (LIVE),Tasa de adición al carrito (LIVE),CTOR (pedido con SKU) (LIVE),Impresiones únicas del producto (LIVE),Clics únicos (LIVE),CTR única (LIVE),Usuarios de ATC (LIVE),Tasa de ATC única (LIVE),CTOR única (SKU) (LIVE),Impresiones de productos (video),Clics en el producto (video),CTR (video),Cantidad de adiciones al carrito (videos),Tasa de adición al carrito (videos),CTOR (pedido con SKU) (video),Impresiones únicas del producto (videos),Clics únicos (video),CTR única (videos),Usuarios de ATC (video),Tasa de ATC única (videos),CTOR única (SKU) (videos),GMV atribuido,GMV,GMV indirecto,Pedidos atribuidos,Pedidos con SKU atribuidos,Pedidos con SKU,Pedidos con SKU indirectos,Ventas de artículos atribuidas,Artículos vendidos,Artículos vendidos indirectamente,Clientes estimados,AOV (pedidos con SKU atribuidos),Impresiones del producto,Clics en el producto,CTR,Cantidad de adiciones al carrito,Tasa de adición al carrito,CTOR (pedido con SKU),Impresiones únicas de productos,Clics únicos,CTR única,Usuarios de Agregar al carrito,Tasa de ATC única,CTOR (pedido con SKU) única
Chaleco Largo Mujer 3/4 Mayoreo “Pola” con Peluche y Gorro Desmontable,1735443868584347338,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,190,3,1.58%,0,0.00%,0.00%,134,2,1.49%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,85,1,1,0,1.18%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,70,2,2.86%,0,0.00%,0.00%,50,1,2.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,120,1,0.83%,0,0.00%,0.00%,65,1,1.54%,0,0.00%,0.00%
Conjunto Velur Mujer Mayoreo 24 Pzs 2 Piezas Pants y Chamarra con Gorro “Violeta”,1735550150763054794,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,231,3,1.30%,0,0.00%,0.00%,199,3,1.51%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,54,1,1,0,1.85%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,146,1,0.68%,0,0.00%,0.00%,90,1,1.11%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,85,2,2.35%,0,0.00%,0.00%,55,2,3.64%,0,0.00%,0.00%
"Sudadera Hombre Mayoreo 24 Pzs con Peluche, Gorro y Diseños Bordados",1735918933110916810,-,Inactivo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,2,0,0.00%,0,0.00%,0.00%,2,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0.00%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,2,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%
Chaleco Largo Mujer Mayoreo 30 Pzs Acolchado 3/4 con Gorro Desmontable,1734968947177260746,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,304,8,2.63%,0,0.00%,0.00%,256,7,2.73%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,159,7,6,0,4.40%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,66,1,1.52%,0,0.00%,0.00%,43,1,2.33%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,238,7,2.94%,0,0.00%,0.00%,166,6,3.61%,0,0.00%,0.00%
Rompevientos Reversible Mujer Mayoreo Doble Vista Polar y Repelente 30 Pzs,1735918468971333322,-,Inactivo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,3,0,0.00%,0,0.00%,0.00%,2,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0.00%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,3,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%
Chamarra Mujer Mayoreo 30 Pzs Entallada con Peluche y Bolsillos con Cierre,1734968380044117706,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,1381,6,0.43%,0,0.00%,0.00%,1205,5,0.41%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,73,0,0,0,0.00%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,1275,4,0.31%,0,0.00%,0.00%,731,1,0.14%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,106,2,1.89%,0,0.00%,0.00%,62,2,3.23%,0,0.00%,0.00%
Gabardina Mujer Mayoreo 36 Pzs 3/4 con Cinturón y Gorro Desmontable,1734969057038796490,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,1234,26,2.11%,0,0.00%,0.00%,1047,23,2.20%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,187,5,5,0,2.67%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,946,16,1.69%,0,0.00%,0.00%,750,13,1.73%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,27,1,3.70%,0,0.00%,0.00%,2,1,50.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,261,9,3.45%,0,0.00%,0.00%,158,7,4.43%,0,0.00%,0.00%
Chaleco Reversible Mujer Mayoreo Doble Vista Nylon con Bolsillos y Cierres,1735509189832574666,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,298,16,5.37%,0,0.00%,0.00%,187,9,4.81%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,123,8,6,0,6.50%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,107,3,2.80%,0,0.00%,0.00%,79,2,2.53%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,191,13,6.81%,0,0.00%,0.00%,85,5,5.88%,0,0.00%,0.00%
Chaleco Maxi Largo Mujer Mayoreo Acolchado con Gorro Desmontable Invierno,1735508935294617290,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,212,8,3.77%,0,0.00%,0.00%,132,8,6.06%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,136,5,5,0,3.68%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,212,8,3.77%,0,0.00%,0.00%,96,5,5.21%,0,0.00%,0.00%
